Features,coefficients,Target
Country_Canada,0.900498,Benzos
Education_Professional Certificate/ Diploma,0.912852,Benzos
Crack,0.922452,Benzos
Gender_Female,0.942242,Benzos
Impulsive,0.944873,Benzos
Education_Doctorate Degree,0.948254,Benzos
Age_55 - 64,0.961887,Benzos
Mushrooms,0.972882,Benzos
Age_25 - 34,0.996668,Benzos
Education_Masters Degree,0.996725,Benzos
Country_Other,1.006824,Benzos
Education_Left School at 16 years,1.011051,Benzos
Ascore,1.01198,Benzos
Choc,1.013872,Benzos
Education_Left School at 18 years,1.032864,Benzos
Ecstasy,1.051877,Benzos
Gender_Male,1.061299,Benzos
Cannabis,1.080609,Benzos
Age_35 - 44,1.107677,Benzos
Heroin,1.126722,Benzos
Amyl,1.142404,Benzos
Country_Australia,1.161233,Benzos
Cscore,1.169778,Benzos
Legalh,1.170845,Benzos
Age_45 - 54,1.183524,Benzos
Education_Left School at 17 years,1.202584,Benzos
VSA,1.207671,Benzos
"Education_Some College,No Certificate Or Degree",1.210297,Benzos
Oscore,1.211115,Benzos
Escore,1.262008,Benzos
Alcohol,1.302573,Benzos
Caff,1.337379,Benzos
Age_65+,1.343074,Benzos
Coke,1.364754,Benzos
Ketamine,1.42967,Benzos
Semer,1.435365,Benzos
Country_USA,1.456085,Benzos
Nicotine,1.503948,Benzos
Amphet,1.623332,Benzos
Meth,1.819258,Benzos
Nscore,2.288159,Benzos
Country_New Zealand,3.764579,Benzos
Benzos,0,Benzos
Country_UK,0.572789,Amphet
Age_65+,0.60158,Amphet
Cscore,0.706955,Amphet
Age_55 - 64,0.72615,Amphet
Country_Other,0.746223,Amphet
Country_New Zealand,0.762634,Amphet
Oscore,0.784156,Amphet
Alcohol,0.802257,Amphet
Education_Left School at 17 years,0.840353,Amphet
LSD,0.843518,Amphet
Education_Left School at 18 years,0.875517,Amphet
Heroin,0.881259,Amphet
Gender_Female,0.895376,Amphet
Education_Left School Before 16 years,0.915199,Amphet
Mushrooms,0.940629,Amphet
"Education_Some College,No Certificate Or Degree",0.952112,Amphet
VSA,0.955759,Amphet
Education_University Degree,0.955859,Amphet
Country_Republic of Ireland,0.957697,Amphet
Age_25 - 34,0.973636,Amphet
Education_Masters Degree,0.994561,Amphet
Meth,1.008703,Amphet
Ascore,1.01219,Amphet
Age_35 - 44,1.024488,Amphet
Impulsive,1.036776,Amphet
Nicotine,1.065665,Amphet
Crack,1.068067,Amphet
SS,1.085605,Amphet
Escore,1.088527,Amphet
Education_Left School at 16 years,1.091411,Amphet
Nscore,1.093795,Amphet
Education_Doctorate Degree,1.108545,Amphet
Gender_Male,1.116849,Amphet
Amyl,1.136108,Amphet
Age_45 - 54,1.157322,Amphet
Choc,1.16546,Amphet
Coke,1.167411,Amphet
Age_18 - 24,1.169748,Amphet
Country_Canada,1.181866,Amphet
Education_Professional Certificate/ Diploma,1.195983,Amphet
Ecstasy,1.253682,Amphet
Semer,1.347087,Amphet
Ketamine,1.355061,Amphet
Country_Australia,1.385308,Amphet
Cannabis,1.44414,Amphet
Caff,1.570258,Amphet
Legalh,1.581859,Amphet
Country_USA,1.824002,Amphet
Benzos,2.001028,Amphet
Amphet,0,Amphet
Country_USA,0.516189,Ketamine
Age_35 - 44,0.535573,Ketamine
Education_Doctorate Degree,0.537984,Ketamine
Ascore,0.60457,Ketamine
Impulsive,0.630165,Ketamine
Age_55 - 64,0.655443,Ketamine
Coke,0.702679,Ketamine
Education_Left School at 16 years,0.708994,Ketamine
Meth,0.757637,Ketamine
SS,0.779986,Ketamine
Gender_Female,0.785984,Ketamine
Age_45 - 54,0.798655,Ketamine
VSA,0.816781,Ketamine
Education_Left School at 17 years,0.838742,Ketamine
Country_New Zealand,0.84467,Ketamine
Nscore,0.851718,Ketamine
Education_Left School Before 16 years,0.862889,Ketamine
Age_65+,0.871655,Ketamine
Caff,0.887203,Ketamine
Country_Republic of Ireland,0.887358,Ketamine
Cscore,0.893085,Ketamine
"Education_Some College,No Certificate Or Degree",0.95593,Ketamine
Country_Other,0.956624,Ketamine
Choc,1.003127,Ketamine
Cannabis,1.036286,Ketamine
Crack,1.041074,Ketamine
Country_Canada,1.055193,Ketamine
Escore,1.062692,Ketamine
Country_Australia,1.120571,Ketamine
Heroin,1.135137,Ketamine
Mushrooms,1.16345,Ketamine
Education_University Degree,1.180899,Ketamine
Education_Left School at 18 years,1.199461,Ketamine
Education_Professional Certificate/ Diploma,1.216818,Ketamine
Gender_Male,1.272291,Ketamine
Education_Masters Degree,1.276908,Ketamine
Semer,1.339218,Ketamine
Age_25 - 34,1.386247,Ketamine
Amyl,1.390626,Ketamine
Legalh,1.448106,Ketamine
Alcohol,1.484987,Ketamine
Benzos,1.595495,Ketamine
Ecstasy,1.635351,Ketamine
Country_UK,1.832337,Ketamine
Oscore,1.85697,Ketamine
Age_18 - 24,1.873521,Ketamine
Amphet,1.89721,Ketamine
LSD,1.900982,Ketamine
Nicotine,2.048016,Ketamine
Ketamine,0,Ketamine
Education_University Degree,0.852674,Nicotine
Cscore,0.862075,Nicotine
Age_45 - 54,0.886299,Nicotine
Mushrooms,0.898889,Nicotine
Age_65+,0.923218,Nicotine
Choc,0.925155,Nicotine
Country_Australia,0.928984,Nicotine
LSD,0.929301,Nicotine
Gender_Female,0.930299,Nicotine
Age_55 - 64,0.942977,Nicotine
Education_Doctorate Degree,0.950166,Nicotine
Heroin,0.952629,Nicotine
Education_Left School at 18 years,0.953197,Nicotine
Education_Masters Degree,0.953741,Nicotine
Country_New Zealand,0.961366,Nicotine
Country_Other,0.981815,Nicotine
Meth,0.981868,Nicotine
Country_USA,0.982854,Nicotine
VSA,0.987443,Nicotine
Legalh,1.000398,Nicotine
Escore,1.007024,Nicotine
Age_35 - 44,1.011163,Nicotine
Amphet,1.012197,Nicotine
Country_Canada,1.016371,Nicotine
Alcohol,1.019323,Nicotine
Ascore,1.026204,Nicotine
Country_UK,1.026985,Nicotine
Education_Professional Certificate/ Diploma,1.031863,Nicotine
Age_25 - 34,1.047502,Nicotine
Nscore,1.061876,Nicotine
Education_Left School at 17 years,1.064698,Nicotine
Oscore,1.064732,Nicotine
Ecstasy,1.073922,Nicotine
"Education_Some College,No Certificate Or Degree",1.074653,Nicotine
Gender_Male,1.074923,Nicotine
Age_18 - 24,1.090797,Nicotine
Crack,1.0966,Nicotine
Country_Republic of Ireland,1.103411,Nicotine
Amyl,1.115134,Nicotine
Coke,1.116968,Nicotine
SS,1.130802,Nicotine
Semer,1.133416,Nicotine
Benzos,1.135671,Nicotine
Ketamine,1.166849,Nicotine
Impulsive,1.176734,Nicotine
Education_Left School at 16 years,1.180154,Nicotine
Education_Left School Before 16 years,1.200174,Nicotine
Caff,1.277998,Nicotine
Cannabis,1.90409,Nicotine
Nicotine,0,Nicotine
Age_55 - 64,0.444982,Ecstasy
Education_Left School Before 16 years,0.576684,Ecstasy
Meth,0.665949,Ecstasy
Education_Left School at 16 years,0.739811,Ecstasy
VSA,0.75183,Ecstasy
Nscore,0.757734,Ecstasy
Education_Left School at 17 years,0.766242,Ecstasy
Age_65+,0.766482,Ecstasy
Impulsive,0.773506,Ecstasy
Cscore,0.795512,Ecstasy
Caff,0.795757,Ecstasy
Age_45 - 54,0.797571,Ecstasy
Country_New Zealand,0.829538,Ecstasy
Education_Professional Certificate/ Diploma,0.841701,Ecstasy
Ascore,0.85872,Ecstasy
Country_Other,0.934363,Ecstasy
Country_UK,0.940095,Ecstasy
